,智能语音,,百度,北京·海淀,3090亿,,投资新潮传媒（21亿），网易云音乐（6亿美元），狮桥物流（10亿），百信银行（20亿），酷开（10.1亿），极米科技（6亿）等；,,,李彦宏,,,,,,,,
,智能语音,,阿里云,浙江·杭州,,,未上市,,,胡晓明,,,,,,,,
,智能语音,,出门问问,上海,估值10亿美元,,未上市,,,李志飞,,,,,,,,
,智能语音,,极限元,北京·海淀,估值5亿,,未上市,,,温正棋,,,,,,,,
,智能语音,,科大讯飞,安徽·合肥,152.6亿,,投资寒武纪，讯飞淘云，优必选，上海枫享网络科技等公司；总投资3.9亿,,,刘庆峰,,,,,,,,
,智能语音,,搜狗,北京·海淀,15.15亿美元,,投资知乎，Airdoc，UTH 国际，闪萌，上海广策科技等；,,,王小川,,,,,,,,
,自然语言处理,,百度,北京·海淀,3090亿,,投资新潮传媒（21亿），网易云音乐（6亿美元），狮桥物流（10亿），百信银行（20亿），酷开（10.1亿），极米科技（6亿）等；,,,李彦宏,,,,,,,,
,自然语言处理,,腾讯云,深圳·前海,33亿美元,,未上市,,,张向东,,,,,,,,
,自然语言处理,,智言科技,深圳·宝安,,,未上市,,,,,,,,,,,
,自然语言处理,,阿里云,浙江·杭州,390亿美元,,未上市,,,胡晓明,,,,,,,,
,机器学习/知识图谱,,搜狗,北京·海淀,15.15亿美元,,投资知乎，Airdoc，UTH 国际，闪萌，上海广策科技等；,,,王小川,,,,,,,,
,机器学习/知识图谱,,腾讯云,深圳·前海,33亿美元,,未上市,,,张向东,,,,,,,,
,机器学习/知识图谱,,爱拼网,深圳·南山区,,,未上市,,,杨洋,,,,,,,,
,机器学习/知识图谱,,百度,北京·海淀,3090亿,,投资新潮传媒（21亿），网易云音乐（6亿美元），狮桥物流（10亿），百信银行（20亿），酷开（10.1亿），极米科技（6亿）等；,,,李彦宏,,,,,,,,
,云平台/OS/大数据服务,大数据服务,国双科技,北京·海淀,10.37亿,,投资北京海纳天创科技（1020万），北京国信网研科技（80万）等。,,,祁国晟,,,,,,,,
,云平台/OS/大数据服务,OS,北京光年无限科技有限公司,北京·石景山,估值10亿,,未上市,,,俞志晨,,,,,,,,
,云平台/OS/大数据服务,PaaS/SaaS,智云奇点科技,北京·海淀,,,未上市,,,李海磊,,,,,,,,
,云平台/OS/大数据服务,LaaS,阿里云,浙江·杭州,390亿美元,,未上市,,,胡晓明,,,,,,,,
,云平台/OS/大数据服务,LaaS,腾讯云,深圳·前海,33亿美元,,未上市,,,张向东,,,,,,,,
,云平台/OS/大数据服务,LaaS,华为,深圳·龙岗,41336亿,,未上市,,,余承东,,,,,,,,
,云平台/OS/大数据服务,,,,,,,,,,,,,,,,,
大类,中类,小类,公司,办公地,企业总资产,,投资关系与总投资规模,,,CEO,,,,,,,,
底层硬件,AI芯片,云端训练,NVIDIA（英伟达）,美国·加利福尼亚,140.2亿美元,,投资Element AI（1.02亿美元），SoundHound（7500万美元），Aimotive（2500万美元），图森未来，Deep Instinct（3200万美元）等公司,,,黄仁勋,,,,,,,,
,AI芯片,云端训练,Google,美国·加利福尼亚,2571亿美元,,投资满帮集团，Barefoot Networks等公司,,,桑达尔·皮查伊 ,,,,,,,,
,AI芯片,云端推理,NVIDIA（英伟达）,美国·加利福尼亚,140.2亿美元,,投资Element AI（1.02亿美元），SoundHound（7500万美元），Aimotive（2500万美元），图森未来，Deep Instinct（3200万美元）等公司,,,黄仁勋,,,,,,,,
,AI芯片,云端推理,Intel（英特尔）,美国·加利福尼亚,1308亿美元,,投资众包平台的Mighty AI、大数据医疗服务公司Lumiata、机器视觉公司Aeye等公司,,,鲍勃·斯旺,,,,,,,,
,AI芯片,云端推理,AMD,美国·加利福尼亚,51.02亿美元,,投资CiiNOW等公司,,,Lisa Su,,,,,,,,
,AI芯片,设备端推理,思必驰（AISPEECH）,江苏·苏州,,,未上市,,,高始兴,,,,,,,,
,AI芯片,设备端推理,深鉴科技（deephi）,北京·海淀,估值10亿美元,,已被赛灵思收购,,,姚颂,,,,,,,,
,AI芯片,设备端推理,广东中科人人智能科技（faceOS）,广东·珠海,,,未上市,,,王海增,,,,,,,,
,AI芯片,设备端推理,寒武纪科技（Cambricon）,北京·海淀,估值160亿,,未上市,,,张猛,,,,,,,,
,AI芯片,类脑芯片,IBM,美国·纽约,1547亿美元,,,,,帕米萨诺,,,,,,,,
,视觉传感器,激光雷达,思岚科技（SLAMTEC）,上海·自贸区,估值6.5亿元,,未上市,,,陈士凯,,,,,,,,
,视觉传感器,激光雷达,Quanergy,美国·加利福尼亚,估值20亿美元,,未上市,,,Louay Eldada,,,,,,,,
,视觉传感器,毫米波雷达,智波科技,浙江·杭州,,,未上市,,,刘天一,,,,,,,,
,视觉传感器,毫米波雷达,沈阳承泰科技,辽宁·沈阳,,,未上市,,,陈承文,,,,,,,,
,视觉传感器,毫米波雷达,隼眼科技,江苏·南京,,,未上市,,,施雪松,,,,,,,,
,视觉传感器,摄像头,速感科技,北京·海淀,,,未上市,,,陈震,,,,,,,,
,视觉传感器,摄像头,中科慧眼,北京·海淀,,,未上市,,,姜安,,,,,,,,
,视觉传感器,3D传感,苹果公司,美国·加利福尼亚,3222亿美元,,投资EarthLink（2亿美元），Akamai（1250万美元），三星（一亿美元），ARM等公司；总投资1160亿美元,,,蒂姆·库克,,,,,,,,
,视觉传感器,3D传感,甲骨文,美国·加利福尼亚,1087亿美元,,投资特斯拉（10亿美元）等公司,,,拉里·埃里森（Larry Ellison）,,,,,,,,
,视觉传感器,3D传感,微软,美国·华盛顿,2866亿美元,,"投资OpenAI
投资OpenAI（10亿美元），Markforged（5.5亿美元），Loggi（1.5亿美元）等公司",,,萨提亚·纳德拉 ,,,,,,,,
